ID,Title,View,Favorite,Like,Dislike,Reply,Share,Coin,Dynamic,View URL
31300117,转史同人【回到原世界这档事】松井原独白（过去篇）,6538,186,117,0,9,4,0,0,https://www.bilibili.com/read/cv31300117
31183536,【防弹少年团/BTS】当你们临近过年闹矛盾，故意说不带他回家过年…,9937,185,330,0,33,1,6,0,https://www.bilibili.com/read/cv31183536
31912265,（病娇/原创）城堡中的病娇吸血鬼（上）,2708,184,114,0,3,1,4,0,https://www.bilibili.com/read/cv31912265
31834038,（星铁同人）    收养记（其七）,2716,184,166,0,4,0,5,0,https://www.bilibili.com/read/cv31834038
31656993,【明日方舟同人】被罗德岛裁员后的博士——第九部分,3138,180,100,0,1,0,0,0,https://www.bilibili.com/read/cv31656993
31369324,【蔚蓝档案】孤独之夜？,6333,179,230,0,17,4,2,0,https://www.bilibili.com/read/cv31369324
32222020,（病娇/原创）城堡中的病娇吸血鬼（中）,2085,175,86,0,1,1,0,0,https://www.bilibili.com/read/cv32222020
31417016,【防弹少年团/闵玧其】亲亲时让你张嘴,6997,174,246,0,12,0,6,0,https://www.bilibili.com/read/cv31417016
32140354,[病娇/诱导型]父亲的再婚对象居然是早有阴谋的病娇,8604,173,336,0,21,4,64,0,https://www.bilibili.com/read/cv32140354
31361689,【星穹铁道同人】托帕总裁在我面前也会变成脑袋坏掉的吃醋乖乖女啊！？,10647,172,384,0,38,2,23,0,https://www.bilibili.com/read/cv31361689
31365593,【防弹少年团/BTS】恋爱初期的kiss…,9591,170,336,0,26,1,4,0,https://www.bilibili.com/read/cv31365593
31178067,【兽人文】身为狼族的我被一头老虎捡去当室友 第九十一章 逐步沦陷？,8759,166,226,0,21,0,30,0,https://www.bilibili.com/read/cv31178067
31571005,（空X纳西妲）纳西妲的一千零一夜（53）,10152,165,172,0,18,3,8,0,https://www.bilibili.com/read/cv31571005
31373289,【双病娇/姐弟/情人节】为你准备的“巧克力”,11188,164,410,0,20,2,58,0,https://www.bilibili.com/read/cv31373289
31213347,《机动战士Z高达外传 A.O.Z 时代的反抗者》第0话 少年们的一年战争,2452,163,160,0,21,22,27,0,https://www.bilibili.com/read/cv31213347
31957497,（战双同人糖文）酒心巧克力[指挥官×鸦羽],3369,162,101,0,3,2,2,0,https://www.bilibili.com/read/cv31957497
31735464,【furry漫画】千目日志【番外1】,9817,162,455,0,48,8,24,0,https://www.bilibili.com/read/cv31735464
32385470,『崩坏三/琪亚娜/甜文』琪与舰长·4,2006,160,70,0,2,2,2,0,https://www.bilibili.com/read/cv32385470
31741850,【病娇/妹妹/依存】妹妹现在想法依旧没有改变哦,5533,160,349,0,47,4,43,0,https://www.bilibili.com/read/cv31741850
32334815,[病娇/母女]占有欲很强的她们不允许我接触任何女性,5845,159,289,0,13,0,75,0,https://www.bilibili.com/read/cv32334815
31808406,【原神】【同人】457.有女朋友了,3835,159,108,0,7,5,0,0,https://www.bilibili.com/read/cv31808406
31225558,柯莱篇：来自柯莱的请教！旅行者老师...真的不惩罚我一下吗？,5324,159,180,0,44,0,0,0,https://www.bilibili.com/read/cv31225558
31223954,小狐狸与“老狐狸” -原神现世46,5984,159,109,0,5,1,6,0,https://www.bilibili.com/read/cv31223954
31180625,特雷弗亨德森故事-卡通猫 (Cartoon Cat),7752,156,116,0,24,9,2,0,https://www.bilibili.com/read/cv31180625
31825252,【原神/同人/长篇】开局穿枫丹，给人们来点福尔摩斯震撼（第十五章）,4174,154,126,0,6,1,4,0,https://www.bilibili.com/read/cv31825252
31472763,［崩铁/流萤］此时此刻，只有我们两人,2137,154,139,0,2,2,2,0,https://www.bilibili.com/read/cv31472763
31150185,【明日方舟】博士与提丰的萨米之行（完）——从我被子里面出去！出去！！出去！！！,2574,154,97,0,2,1,0,0,https://www.bilibili.com/read/cv31150185
